2,17,435
*,*,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
republican,democrat
100,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
101,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
100,2,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,3,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0
100,4,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0
101,5,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
100,6,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
101,7,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
101,8,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0
101,9,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
100,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
100,2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
100,3,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
100,4,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
101,5,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
100,6,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
101,7,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
101,8,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1
101,9,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
101,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
100,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
100,2,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1
101,3,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
101,4,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0
101,5,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
100,6,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0
101,7,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
101,8,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
101,9,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
100,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
100,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
100,2,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0
101,3,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1
101,4,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
101,5,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0
101,6,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
101,7,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
100,8,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
100,9,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
100,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
100,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
101,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
101,4,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0
101,5,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
100,6,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,7,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
100,8,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
100,9,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
101,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
100,2,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
100,3,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
101,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
100,5,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
100,6,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
101,7,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
101,8,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0
100,9,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
100,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
100,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1
101,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0
101,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
100,4,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
101,5,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
101,6,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
101,7,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
101,8,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
101,9,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0
101,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
101,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,2,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
101,3,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,5,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
100,6,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
101,7,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
100,8,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1
101,9,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
101,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
100,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
101,2,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
101,3,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1
101,4,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
100,5,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
101,6,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
101,7,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
101,8,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
100,9,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
101,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
100,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
100,2,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,3,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
101,4,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
100,5,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,6,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
100,7,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
100,8,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
100,9,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1
100,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
100,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,2,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0
100,3,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
101,4,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0
101,5,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
101,6,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
100,7,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,8,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,9,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0
100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
101,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
101,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
100,3,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,4,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
100,5,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
100,6,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
101,7,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
101,8,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,9,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
100,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
100,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
101,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
101,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
101,4,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
101,5,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
100,6,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
100,7,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
100,8,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,9,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
100,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
101,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1
101,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
101,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
101,4,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
101,5,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
101,6,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
100,7,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
101,8,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
101,9,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0
100,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
100,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
100,2,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
100,3,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
100,4,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
100,5,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,6,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1
101,7,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
100,8,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
100,9,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
101,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
101,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
101,2,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
100,3,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,4,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
100,5,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
100,6,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,7,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
101,8,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
100,9,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0
101,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
100,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
100,3,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,4,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
101,5,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
101,6,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
101,7,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,8,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
100,9,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
101,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
101,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
101,2,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
101,3,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0
100,4,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,5,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,6,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
101,7,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
100,8,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
100,9,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
101,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
101,2,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
100,3,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
100,4,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
100,5,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0
100,6,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,7,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0
100,8,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
101,9,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
101,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
100,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
101,2,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
101,3,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
100,4,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
101,5,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
101,6,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1
100,7,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
101,8,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
100,9,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
100,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
100,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,2,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
100,3,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
101,4,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
101,5,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
100,6,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
100,7,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1
100,8,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
101,9,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
100,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
101,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0
101,2,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
101,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
100,4,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
101,5,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1
